rate_hits,cycles_train,cycles_attack
0.9991,3.44107,231.102
0.9995,3.4294,230.276
0.9989,3.46116,211.599
0.998,3.57319,216.39
0.9995,3.44476,229.695
0.9997,3.43624,216.777
0.9991,3.43042,214.602
0.999,3.43658,231.081
0.9996,3.43871,231.569
0.9995,3.44878,216.169
0.9994,3.44307,236.875
0.9994,3.43705,212.37
0.9993,3.44316,215.423
0.9996,3.43059,231.315
0.9996,3.43008,216.221
0.9992,3.44593,212.632
0.9996,3.43071,236.075
0.9978,3.50961,233.936
0.9997,3.44226,213.896
0.9997,3.44493,229.456
0.9991,3.44048,219.738
0.9993,3.44582,217.224
0.9992,3.4472,216.911
0.9996,3.43348,231.659
0.9994,3.43472,228.275
0.9996,3.44963,212.898
0.9993,3.43269,229.488
0.9995,3.44139,231.617
0.9992,3.44055,231.839
0.9992,3.441,215.171
0.9994,3.44686,236.348
0.9993,3.43782,232.231
0.994,3.62099,228.781
0.9997,3.44906,232.988
0.9993,3.43625,214.287
0.9992,3.44205,213.857
0.9991,3.44268,231.175
0.9995,3.44035,231.789
0.9992,3.43232,212.517
0.9991,3.42718,229.868
0.9995,3.43418,215.004
0.9993,3.43837,217.675
0.9993,3.42844,227.357
0.9998,3.45054,232.576
0.9997,3.44393,213.571
0.9993,3.43328,215.292
0.9973,3.56679,233.911
0.9994,3.4431,230.017
0.9995,3.43502,210.539
0.9997,3.43161,227.647
0.9995,3.43218,231.502
0.9995,3.43472,231.186
0.9994,3.42686,212.056
0.9994,3.43596,249.604
0.9996,3.42572,230.06
0.9994,3.44275,234.355
0.9996,3.43174,236.395
0.9996,3.43127,212.535
0.9995,3.42796,234.162
0.9996,3.43898,231.147
0.9994,3.44906,214.757
0.9982,3.5074,214.808
0.9996,3.44495,251.735
0.9995,3.44069,214.401
0.9991,3.43874,213.103
0.9993,3.43691,233.959
0.9995,3.42805,211.126
0.9997,3.44766,229.659
0.9993,3.42712,231.308
0.9995,3.43723,228.274
0.9996,3.43081,230.733
0.9996,3.43629,213.549
0.9997,3.43346,212.104
0.9994,3.43678,211.977
0.9997,3.42889,230.762
0.9986,3.51166,211.04
0.9994,3.4355,229.949
0.999,3.43945,231.692
0.9993,3.43509,230.529
0.9996,3.44607,211.91
0.9997,3.44124,236.63
0.9995,3.42905,212.167
0.9997,3.4326,213.519
0.9996,3.43868,214.546
0.9995,3.42826,229.187
0.9991,3.42583,227.968
0.9993,3.43259,218.022
0.9994,3.44203,215.449
0.9997,3.44768,231.293
0.9996,3.42732,230.476
0.997,3.56516,230.643
0.9995,3.42663,229.817
0.9997,3.44077,228.408
0.9995,3.42693,230.881
0.9996,3.43071,229.06
0.9995,3.43559,213.543
0.9994,3.43845,229.403
0.9997,3.43177,215.113
0.9993,3.44649,213.385
0.9995,3.42939,210.686
0.9998,3.43641,229.679
0.9996,3.45403,237.427
0.9994,3.44256,235.604
0.9991,3.44134,253.474
0.998,3.50603,232.568
0.9999,3.44245,229.497
0.9995,3.43893,211.492
0.9992,3.43601,234.73
0.9997,3.43618,233.186
0.9993,3.44102,231.17
0.9996,3.43029,213.031
0.9991,3.43282,233.764
0.9994,3.43883,217.07
0.9993,3.43651,230.921
0.9998,3.43891,213.216
0.9991,3.42925,214.523
0.9993,3.44784,230.8
0.9996,3.43988,249.08
0.9993,3.44751,228.098
0.9992,3.44865,215.181
0.9989,3.44721,214.528
0.9996,3.44476,234.79
0.9993,3.43709,230.846
0.9998,3.43697,230.375
0.9994,3.45801,232.436
0.9993,3.43898,231.565
0.9991,3.43795,215.041
0.9993,3.43836,213.951
0.9994,3.44796,212.038
0.9996,3.44338,229.341
0.9995,3.43742,229.256
0.9994,3.4427,213.18
0.9997,3.44804,230.971
0.9968,3.56552,213.629
0.9995,3.43552,228.237
0.9991,3.43538,229.091
0.9993,3.44078,232.203
0.9995,3.44965,232.926
0.9996,3.44108,234.141
0.9993,3.44391,231.881
0.9994,3.43142,212.852
0.9995,3.43453,210.585
0.999,3.44545,231.258
0.9995,3.4502,213.62
0.9995,3.43574,211.957
0.9997,3.43774,214.556
0.9998,3.44322,208.58
0.9979,3.51716,231.16
0.9993,3.43113,232.466
0.999,3.44392,213.489
0.9994,3.44122,212.538
0.9994,3.43861,231.242
0.9998,3.43998,230.662
0.9996,3.45109,230.401
0.9993,3.4357,213.118
0.9994,3.43618,230.226
0.999,3.44701,212.018
0.9989,3.43712,211.263
0.9995,3.44273,229.139
0.9991,3.43993,211.546
0.9994,3.44384,235.454
0.9996,3.43174,233.451
0.9976,3.51164,231.184
0.9992,3.43869,212.765
0.9993,3.44421,232.847
0.9994,3.43133,216.172
0.9994,3.4413,230.835
0.9993,3.44654,233.008
0.9995,3.45202,231.562
0.9995,3.44887,214.291
0.9995,3.4382,234.672
0.9997,3.43584,234.301
0.9992,3.43299,235.606
0.9996,3.45064,218.373
0.9996,3.44525,234.737
0.9994,3.43885,215.5
0.9954,3.56918,232.428
0.9995,3.43758,213.014
0.9998,3.44141,213.371
0.9996,3.43896,228.411
0.9997,3.43252,216.645
0.9992,3.44419,215.332
0.9997,3.43855,233.28
0.9994,3.44195,234.621
0.9991,3.43349,228.483
0.9995,3.45454,227.855
0.9992,3.44031,217.686
0.9996,3.44421,252.403
0.9994,3.44957,251.708
0.9995,3.43717,229.929
0.999,3.43683,211.589
0.9983,3.52741,213.499
0.9999,3.44123,230.064
0.999,3.44521,215.903
0.9994,3.44478,230.727
0.9998,3.42897,229.596
0.9998,3.43984,234.122
0.9993,3.44028,215.059
0.9995,3.43328,215.815
0.9995,3.45205,232.756
0.9998,3.43381,232.778
0.9995,3.463,231.555
0.9994,3.44018,230.327
0.9996,3.45799,235.105
0.9994,3.44352,214.886
0.9982,3.51845,231.954
0.999,3.44331,215.763
0.9995,3.45604,214.16
0.9996,3.44579,215.326
0.9995,3.42899,211.67
0.9998,3.445,217.085
0.9996,3.43376,213.655
0.9995,3.43778,213.659
0.9998,3.44645,232.236
0.9996,3.45881,214.002
0.9993,3.43179,217.697
0.9997,3.43855,216.851
0.9994,3.42495,230.592
0.9996,3.4436,232.94
0.9993,3.44811,231.886
0.9982,3.5641,216.524
0.9996,3.44007,232.666
0.9993,3.42378,213.31
0.9993,3.44604,216.316
0.9994,3.43912,230.762
0.9995,3.44642,210.754
0.9998,3.44869,214.955
0.9993,3.43006,232.137
0.9994,3.44215,219.064
0.9997,3.44581,231.346
0.9995,3.43491,213.858
0.9997,3.46785,232.284
0.999,3.43517,213.411
0.9995,3.43461,229.983
0.9983,3.47104,217.155
0.9989,3.43226,212.394
0.9992,3.43034,213.211
0.9992,3.43009,231.607
0.9996,3.45017,230.018
0.9994,3.42765,232.681
0.9995,3.43486,229.733
0.9991,3.44053,210.993
0.9999,3.4394,213.951
0.9996,3.42868,211.17
0.9997,3.45109,231.774
0.9994,3.43725,212.757
0.9995,3.43876,211.863
0.9993,3.43127,250.499
0.9993,3.42686,214.938
0.9991,3.43073,228.427
0.9989,3.43917,229.346
0.9997,3.454,213.439
0.9998,3.43412,211.251
0.9988,3.43949,230.543
0.9995,3.44374,230.561
0.9993,3.44204,231.678
0.9996,3.44988,213.732
0.9994,3.43232,211.355
0.9997,3.43506,211.84
0.9993,3.45601,216.274
0.9995,3.43149,231.118
0.9989,3.45487,213.56
0.9997,3.4372,229.465
0.9915,3.77051,234.124
0.9993,3.43653,230.819
0.9994,3.4519,219.374
0.9998,3.45803,252.99
0.9991,3.44994,234.314
0.9992,3.43804,231.167
0.9996,3.43424,210.669
0.9994,3.44505,232.016
0.9994,3.44058,232.12
0.9994,3.44875,215.221
0.9997,3.44359,212.02
0.9996,3.44176,231.729
0.9996,3.43282,215.432
0.9993,3.44254,234.147
0.9994,3.4338,215.083
0.9993,3.43517,214.489
0.9994,3.43487,231.2
0.9994,3.43733,230.235
0.9997,3.43064,215.032
0.9995,3.45267,213.975
0.9997,3.4441,235.32
0.9998,3.45852,231.804
0.9999,3.43163,231.117
0.9996,3.43414,233.231
0.9995,3.4407,212.282
0.999,3.43287,234.242
0.9995,3.43289,231.235
0.9996,3.43012,217.817
0.9998,3.425,217.847
0.9964,3.53846,229.602
0.9992,3.44667,228.042
0.9993,3.45152,219.469
0.9992,3.43613,212.397
0.9994,3.44098,214.713
0.9996,3.44048,234.244
0.9994,3.42873,218.094
0.9998,3.4348,214.254
0.9997,3.44152,235.579
0.9996,3.4341,232.499
0.9995,3.44136,232.902
0.9997,3.43652,232.851
0.9993,3.43833,214.8
0.9997,3.44257,229.66
0.9954,3.71439,235.104
0.9994,3.44035,228.408
0.9994,3.42362,215.015
0.9997,3.43855,230.06
0.9995,3.44181,214.775
0.9994,3.43457,213.283
0.9998,3.44254,231.322
0.9996,3.44522,233.859
0.9997,3.4398,230.106
0.9996,3.43774,230.76
0.9993,3.44269,214.893
0.9997,3.43847,213.186
0.9995,3.43906,229.155
0.9994,3.44357,229.336
0.9996,3.44002,215.323
0.9972,3.50036,230.491
0.9991,3.45234,214.488
0.9991,3.4426,231.352
0.9994,3.43712,230.407
0.9996,3.44333,231.55
0.9996,3.4316,212.995
0.9994,3.44862,213.726
0.9995,3.45734,230.137
0.9998,3.43526,230.592
0.9994,3.43507,235.674
0.9994,3.44293,235.071
0.9996,3.44553,231.272
0.9997,3.42695,233.645
0.9996,3.43668,227.647
0.9983,3.48033,233.878
0.9994,3.42682,233.79
0.9991,3.43668,213.46
0.9993,3.4318,230.524
0.9992,3.435,229.497
0.9993,3.42995,230.276
0.9994,3.44175,212.926
0.999,3.44678,218.106
0.9995,3.44832,213.056
0.9997,3.43697,230.172
0.9995,3.43925,214.397
0.9996,3.43053,229.54
0.9997,3.42139,229.685
0.9995,3.44219,215.77
0.9996,3.43492,212.132
0.9959,3.55504,215.413
0.9997,3.43464,215.338
0.9991,3.44644,229.311
0.9994,3.43866,213.464
0.9993,3.43773,212.283
0.9997,3.43298,230.187
0.9993,3.42692,230.071
0.9994,3.4377,215.749
0.9995,3.42862,212.962
0.9996,3.46066,215.474
0.9997,3.42155,229.844
0.9991,3.43264,230.322
0.9994,3.42525,211.537
0.999,3.43172,229.329
0.9987,3.48201,211.171
0.9995,3.44477,214.599
0.9996,3.42963,230.277
0.9998,3.44768,213.74
0.9991,3.44165,214.515
0.9995,3.43343,213.35
1,3.42776,212.745
0.9997,3.43481,213.171
0.9993,3.42958,228.232
0.9996,3.42339,228.691
0.9997,3.43908,215.649
0.9996,3.43144,233.518
0.9993,3.4491,233.078
0.9995,3.42816,212.191
0.9993,3.43741,233.363
0.9968,3.52255,234.744
0.9996,3.43991,230.114
0.9993,3.44228,214.234
0.9993,3.44352,232.288
0.999,3.43777,232.535
0.9996,3.46391,213.688
0.9994,3.43324,250.591
0.9996,3.44282,229.839
0.9995,3.4417,212.183
0.9997,3.43926,233.404
0.9997,3.43505,249.875
0.9994,3.43321,229.475
0.9994,3.42875,216.261
0.9996,3.42808,215.089
0.9951,3.56526,218.762
0.9995,3.43689,229.339
0.9994,3.45214,220.16
0.9995,3.43557,231.879
0.9998,3.44079,215.135
0.9995,3.43907,231.705
0.9995,3.43757,213.428
0.9995,3.44544,214.225
0.9994,3.42661,213.005
0.9993,3.4378,213.989
0.9997,3.4394,215.292
0.9996,3.42658,235.117
0.9992,3.43912,217.181
0.9997,3.42796,213.536
0.9985,3.46543,212.879
0.9994,3.44644,214.885
0.9997,3.44882,212.543
0.9998,3.45208,228.075
0.9995,3.44777,212.534
0.9993,3.44216,212.873
0.9998,3.43753,255.965
0.9996,3.44556,231.873
0.9997,3.43378,231.148
0.9995,3.43739,213.532
0.9996,3.43354,214.874
0.9993,3.44502,234.173
0.9991,3.43006,212.105
0.9995,3.4422,214.571
0.9994,3.44979,231.801
0.9958,3.48276,228.435
0.9992,3.43074,230.794
0.9992,3.45116,213.65
0.9997,3.44326,214.176
0.9995,3.46195,218.04
0.9998,3.43495,213.985
0.9995,3.45356,235.228
1,3.44188,230.684
0.9997,3.44008,231.012
0.999,3.42978,229.407
0.9993,3.42599,216.71
0.9997,3.44105,231.974
0.9994,3.4288,231.164
0.9988,3.43695,213.214
0.996,3.55329,230.409
0.9993,3.43775,216.05
0.9994,3.44107,249.609
0.9995,3.44147,228.485
0.9997,3.43988,234.744
0.9993,3.4343,228.087
0.9996,3.43493,215.731
0.9997,3.439,213.377
0.9992,3.43609,212.805
0.9994,3.43858,212.193
0.9991,3.45253,231.082
0.9996,3.44422,214.066
0.9995,3.44792,232.849
