rate_hits,cycles_train,cycles_attack
0.9998,3.20665,259.035
1,3.20477,244.018
1,3.20469,245.642
0.9999,3.20477,245.651
0.9998,3.2047,247.715
1,3.20542,244.317
1,3.20636,247.158
1,3.20462,245.906
1,3.20429,248.555
1,3.2047,248.443
1,3.20509,245.95
1,3.20578,258.134
0.9999,3.20572,258.933
0.9998,3.24259,262.808
0.9997,3.20657,248.575
1,3.20288,261.683
1,3.20259,257.876
1,3.20302,245.05
1,3.20264,280.685
1,3.20285,246.365
1,3.20322,246.115
1,3.20339,248.01
1,3.20272,264.117
1,3.20247,258.471
1,3.20315,247.587
1,3.20291,262.23
1,3.20263,282.375
0.9999,3.26647,262.805
1,3.20269,259.976
1,3.20329,247.408
1,3.20296,260.022
1,3.20299,251.143
1,3.2026,248.314
1,3.20265,258.471
1,3.20272,247.835
1,3.20335,259.42
1,3.20267,257.193
0.9998,3.20289,258.131
1,3.20285,259.65
1,3.20253,260.802
1,3.20295,246.152
1,3.2032,244.996
0.9967,3.40228,266.68
1,3.20262,262.221
1,3.2024,280.293
1,3.20272,260.621
1,3.20266,247.994
1,3.2033,259.454
1,3.2027,247.669
1,3.20317,249.303
1,3.20278,260.904
1,3.20239,246.339
1,3.20273,258.927
1,3.20308,280.783
1,3.20302,258.868
1,3.2032,258.888
1,3.20308,245.93
1,3.20303,283.048
1,3.20322,248.541
1,3.20299,255.832
1,3.20304,245.977
1,3.20262,258.406
1,3.20258,258.994
1,3.20257,260.75
1,3.20255,260.046
1,3.20286,258.249
1,3.20243,247.979
1,3.20273,265.055
1,3.20333,254.982
1,3.2026,259.494
1,3.20248,246.048
0.9997,3.25091,259.219
1,3.2028,259.12
1,3.20388,248.16
1,3.20368,259.7
1,3.20311,261.043
1,3.20335,259.086
1,3.20321,260.174
1,3.20306,245.861
1,3.20317,263.067
1,3.20318,247.466
1,3.20309,247.188
1,3.20287,248.814
1,3.20299,245.339
1,3.20351,248.662
1,3.2033,248.87
0.9963,3.36102,249.825
1,3.20267,249.2
0.9999,3.20286,246.153
1,3.20284,245.722
1,3.20288,245.296
0.9999,3.20245,249.549
1,3.20282,259.028
1,3.20268,258.031
1,3.20271,247.787
1,3.20287,243.729
1,3.20265,244.136
1,3.20284,259.258
1,3.2033,251.515
1,3.2026,248.29
0.9999,3.2309,246.189
1,3.20344,258.43
1,3.20283,248.955
1,3.20278,245.953
1,3.20292,248.905
1,3.20307,258.308
1,3.20287,246.635
1,3.2031,258.903
1,3.20304,245.753
1,3.20271,256.702
1,3.20427,257.809
1,3.20282,248.312
1,3.20233,245.415
1,3.2023,248.268
1,3.20248,249.565
0.9966,3.27361,258.079
0.9999,3.20737,261.216
1,3.20314,257.399
0.9999,3.20347,283.668
1,3.20396,256.563
1,3.20344,247.769
0.9999,3.20356,251.275
1,3.20366,257.948
1,3.20289,247.627
1,3.20382,256.157
1,3.20282,259.853
1,3.20321,262.054
1,3.20294,247.781
1,3.20319,261.836
0.9985,3.28383,284.834
1,3.20325,261.546
1,3.20367,259.49
1,3.20331,251.447
1,3.20319,249.629
1,3.20337,245.266
0.9999,3.20428,245.526
1,3.20326,245.686
1,3.20383,246.275
1,3.20328,259.07
1,3.20305,258.981
1,3.20384,248.265
1,3.20383,247.552
1,3.20303,258.324
1,3.20376,246.252
0.9999,3.21993,249.141
0.9999,3.20496,245.8
1,3.20341,258.625
1,3.20308,260.063
1,3.20436,247.098
1,3.20377,259.186
1,3.20263,260.415
1,3.20357,262.822
1,3.20344,246.353
1,3.20256,245.88
1,3.20308,258.226
1,3.20317,249.105
1,3.20404,259.196
1,3.20276,257.764
1,3.20345,257.207
1,3.20334,248.553
1,3.20419,261.224
1,3.20302,260.362
1,3.20277,244.406
1,3.20233,258.991
1,3.20271,247.534
1,3.20263,247.106
1,3.20273,245.377
1,3.20269,258.26
1,3.2038,261.493
1,3.20353,284.34
