rate_hits,cycles_train,cycles_attack
1,0,238.944
1,0,240.037
1,0,220.778
1,0,241.115
1,0,221.462
1,0,242.195
1,0,240.436
1,0,223.56
0.9999,0,238.801
0.9999,0,238.093
1,0,240.17
0.9997,0,222.238
1,0,221.925
0.9996,0,221.503
1,0,226.202
0.9999,0,239.933
1,0,241.507
1,0,237.595
1,0,225.352
1,0,222.92
1,0,222.904
0.9999,0,220.984
1,0,243.442
1,0,253.687
0.9999,0,238.493
1,0,223.388
1,0,243.745
0.9991,0,241.442
0.9999,0,220.807
1,0,243.38
1,0,237.538
1,0,221.022
1,0,223.431
1,0,220.254
0.9999,0,224.583
1,0,237.636
1,0,225.988
1,0,225.598
1,0,238.026
0.9999,0,237.916
1,0,239.556
1,0,224.292
1,0,224.706
1,0,221.657
0.9965,0,220.7
1,0,222.732
1,0,225.28
1,0,220.848
1,0,226.743
1,0,221.577
1,0,224.963
1,0,240.13
1,0,222.833
1,0,220.41
1,0,241.326
1,0,221.395
1,0,238.389
1,0,244.184
0.9999,0,243.821
1,0,242.776
0.9991,0,221.801
1,0,239.551
1,0,221.49
1,0,241.522
1,0,241.229
1,0,240.845
1,0,223.88
1,0,221.726
1,0,239.15
1,0,220.765
1,0,223.795
1,0,227.788
1,0,240.255
1,0,238.421
1,0,240.322
1,0,239.252
0.9996,0,237.577
1,0,222.717
0.9999,0,221.437
1,0,242.12
1,0,239.166
1,0,222.201
1,0,241.005
1,0,224.166
1,0,222.625
1,0,245.318
1,0,253.299
1,0,220.637
1,0,222.824
1,0,219.903
0.9999,0,243.901
1,0,235.422
1,0,240.232
0.9999,0,220.978
1,0,242.236
0.9999,0,239.968
0.9999,0,239.66
1,0,241.132
1,0,241.313
1,0,239.622
1,0,220.985
1,0,223.112
1,0,221.079
1,0,222.196
1,0,224.793
1,0,224.862
1,0,227.689
1,0,223.285
1,0,220.966
0.9999,0,239.597
1,0,220.401
1,0,240.659
0.9998,0,225.084
1,0,220.04
1,0,237.883
1,0,224.016
1,0,220.923
0.9998,0,225.244
0.9999,0,220.511
1,0,244.382
1,0,221.538
1,0,255.081
0.9999,0,223.1
1,0,240.439
1,0,220.444
0.9997,0,241.965
1,0,219.406
1,0,240.889
1,0,220.573
1,0,243.269
1,0,223.298
1,0,239.813
1,0,221.556
1,0,239.243
1,0,243.467
1,0,221.907
0.9999,0,223.434
1,0,241.591
1,0,238.832
1,0,245.984
0.9999,0,221.177
0.9973,0,224.639
1,0,253.752
1,0,224.443
1,0,222.195
1,0,221.267
1,0,222.978
1,0,225.912
1,0,241.068
1,0,241.934
0.9999,0,242.353
1,0,243.715
1,0,240.193
1,0,224.145
1,0,220.727
1,0,220.978
0.9999,0,224.664
1,0,221.245
1,0,221.778
1,0,242.47
1,0,239.734
0.9999,0,242.389
0.9999,0,240.819
1,0,238.383
1,0,219.292
1,0,256.568
1,0,238.217
1,0,238.168
1,0,224.358
1,0,221.285
1,0,222.221
1,0,221.301
1,0,221.367
1,0,220.739
0.9995,0,222.79
1,0,244.892
1,0,228.02
1,0,221.123
1,0,220.677
1,0,220.839
1,0,220.938
1,0,237.435
1,0,238.458
1,0,242.549
1,0,238.179
1,0,240.138
1,0,222.167
1,0,237.115
1,0,239.687
1,0,243.028
0.9987,0,221.968
1,0,220.684
0.9999,0,237.633
0.9999,0,223.939
1,0,238.974
1,0,239.377
0.9999,0,240.262
1,0,226.378
0.9999,0,240.327
1,0,221.34
1,0,239.066
0.9999,0,239.938
0.9999,0,221.024
1,0,240.01
1,0,222.049
0.9996,0,224.478
0.9976,0,221.402
0.9999,0,238.7
0.9999,0,239.771
0.9999,0,221.131
1,0,238.621
1,0,243.421
1,0,240.631
1,0,222.321
1,0,224.295
1,0,223.392
1,0,222.755
0.9999,0,240.853
1,0,221.56
0.9999,0,238.192
1,0,223.535
0.9999,0,237.301
1,0,221.227
0.9996,0,221.86
1,0,243.358
1,0,221.204
1,0,238.308
1,0,239.149
1,0,223.427
0.9999,0,223.915
1,0,221.193
1,0,239.529
0.9999,0,223.177
1,0,222.389
1,0,241.919
1,0,239.016
1,0,243.129
1,0,219.947
1,0,242.832
0.9992,0,241.638
1,0,221.623
1,0,223.288
1,0,221.229
1,0,237.296
1,0,241.143
1,0,224.887
1,0,238.563
1,0,241.341
1,0,240.372
1,0,239.742
1,0,239.798
0.9999,0,224.559
1,0,243.849
1,0,238.404
0.9999,0,242.404
0.9982,0,239.592
1,0,223.674
1,0,239.097
1,0,223.296
1,0,246.006
1,0,239.965
0.9999,0,239.512
1,0,220.011
1,0,242.167
1,0,238.937
1,0,241.937
0.9999,0,237.468
1,0,239.567
1,0,244.81
1,0,225.188
1,0,238.339
1,0,223.488
0.9999,0,221.603
0.9997,0,222.125
1,0,223.971
1,0,237.715
1,0,241.695
1,0,222.339
0.9999,0,222.161
1,0,222.773
1,0,225.81
1,0,243.974
1,0,242.518
0.9998,0,244.595
1,0,239.935
1,0,221.914
1,0,237.786
1,0,224.754
0.9994,0,221.008
1,0,239.989
0.9999,0,240.088
0.9999,0,239.022
0.9999,0,223.155
0.9999,0,220.688
1,0,239.397
1,0,240.838
1,0,242.959
0.9999,0,219.571
0.9999,0,252.415
1,0,236.693
1,0,239.239
0.9999,0,223.032
1,0,218.06
1,0,240.928
1,0,239.919
1,0,243.932
0.9998,0,238.476
0.9999,0,243.339
0.9999,0,236.163
1,0,224.389
1,0,240.306
1,0,222.348
1,0,224.728
1,0,243.201
1,0,251.636
0.9999,0,242.602
1,0,220.91
1,0,240.027
1,0,238.934
1,0,241.928
0.9957,0,237.126
1,0,240.648
0.9998,0,247.854
1,0,241.413
0.9999,0,220.138
1,0,225.088
1,0,240.045
1,0,242.71
1,0,246.174
1,0,257.454
0.9999,0,238.313
0.9999,0,220.537
