rate_hits_mapped,rate_hits_unmapped,time_mapped,time_unmapped
0.039,0.0168,8.13352e-06,8.1969e-06
0.0035,0.0002,8.13988e-06,8.19054e-06
0.0009,0,8.12626e-06,8.19955e-06
0.0012,0.0001,8.09907e-06,8.16842e-06
0.0016,0,8.10828e-06,8.18621e-06
0.001,0,8.11717e-06,8.18627e-06
0.0017,0.0001,8.14268e-06,8.20898e-06
0.0517,0.0084,8.11787e-06,8.17428e-06
0.1426,0.0954,8.19974e-06,8.2538e-06
0.1336,0,8.25127e-06,8.14501e-06
0.0001,0,8.17807e-06,8.23987e-06
0.0011,0.0068,8.11102e-06,8.19138e-06
0.002,0,8.08876e-06,8.14441e-06
0.0012,0,8.10758e-06,8.18171e-06
0.0027,0,8.12343e-06,8.18348e-06
0.0024,0.0003,8.14816e-06,8.20795e-06
0.0012,0,8.09807e-06,8.16801e-06
0.0328,0.0075,8.14401e-06,8.18792e-06
0.0009,0,8.12582e-06,8.19561e-06
0.0013,0.0001,8.08398e-06,8.14468e-06
0.0225,0.0074,8.20625e-06,8.25002e-06
0.0013,0.0002,8.07087e-06,8.12353e-06
0.0024,0.0001,8.10803e-06,8.16867e-06
0.0662,0.0146,8.15261e-06,8.21359e-06
0.0017,0,8.15254e-06,8.2012e-06
0.0038,0,8.10172e-06,8.15755e-06
0.0015,0,8.0869e-06,8.15282e-06
0.0013,0,8.10831e-06,8.1775e-06
0.1013,0.0531,8.18379e-06,8.24669e-06
0.058,0.0278,8.13452e-06,8.18556e-06
0.1115,0.0491,8.1628e-06,8.22057e-06
0.0016,0,8.09439e-06,8.13289e-06
0.2631,0.1902,8.21115e-06,8.27294e-06
0.0631,0.0232,8.14757e-06,8.17619e-06
0.001,0.0001,8.13847e-06,8.17474e-06
0.0007,0,8.10755e-06,8.1692e-06
0.0011,0.0001,8.11915e-06,8.17324e-06
0.0019,0,8.07865e-06,8.14355e-06
0.0656,0.017,8.17286e-06,8.2295e-06
0.0017,0.0001,8.14152e-06,8.1845e-06
0.041,0,8.17262e-06,8.23474e-06
0.0137,0.0041,8.15532e-06,8.21301e-06
0.0011,0,8.10377e-06,8.15474e-06
0.0399,0.0004,8.1101e-06,8.14944e-06
0.0008,0,8.10469e-06,8.1823e-06
0.0014,0,8.0792e-06,8.147e-06
0.4689,0.0002,8.9261e-06,8.17365e-06
0.0013,0,8.10858e-06,8.18115e-06
0.073,0.0162,8.1424e-06,8.18789e-06
0.0248,0.0074,8.11399e-06,8.17435e-06
0.0022,0,8.10017e-06,8.17113e-06
0.0014,0,8.10121e-06,8.15753e-06
0.0019,0,8.10887e-06,8.17641e-06
0.0083,0.0002,8.10882e-06,8.15927e-06
0.0023,0,8.08706e-06,8.14498e-06
0.0116,0.0002,8.13514e-06,8.19515e-06
0.1017,0.0352,8.15229e-06,8.2078e-06
0.002,0.0001,8.11223e-06,8.1767e-06
0.0021,0,8.09674e-06,8.16735e-06
0.0016,0.0002,8.09993e-06,8.15057e-06
0.0013,0.0001,8.10552e-06,8.13534e-06
0.0033,0.0001,8.14909e-06,8.20705e-06
0.0014,0,8.10086e-06,8.14301e-06
0.0391,0.01,8.13564e-06,8.18445e-06
0.0014,0.0001,8.12274e-06,8.17904e-06
0.0018,0,8.11512e-06,8.17994e-06
0.001,0,8.10838e-06,8.17353e-06
0.0005,0.0001,8.08999e-06,8.1603e-06
0.0367,0.0049,8.10721e-06,8.15069e-06
0.0024,0,8.12961e-06,8.20362e-06
0.0006,0,8.10478e-06,8.16091e-06
0.023,0.0049,8.15791e-06,8.20692e-06
0.0005,0,8.15004e-06,8.22644e-06
0.0016,0,8.11129e-06,8.18041e-06
0.0014,0,8.1754e-06,8.23988e-06
