rate_hits_mapped,rate_hits_unmapped,time_mapped,time_unmapped
0.7312,0,8.74709e-06,8.94162e-06
0.7195,0,8.73618e-06,8.94116e-06
0.6194,0,8.77664e-06,8.94164e-06
0.6689,0,8.84525e-06,9.04483e-06
0.7254,0,8.70158e-06,8.94173e-06
0.6974,0,8.72627e-06,8.94265e-06
0.5671,0,8.78783e-06,8.94174e-06
0.6995,0,8.7271e-06,8.94252e-06
0.7544,0,8.72334e-06,8.94187e-06
0.7583,0,8.70107e-06,8.9431e-06
0.9709,0,8.68692e-06,8.99801e-06
0.7527,0,8.70593e-06,8.94175e-06
0.7586,0,8.70223e-06,8.94174e-06
0.7165,0,8.75871e-06,8.94237e-06
0.751,0,8.72729e-06,8.9414e-06
0.7334,0,8.70976e-06,8.94212e-06
0.7601,0,8.72018e-06,8.94198e-06
0.7268,0,8.73778e-06,8.94186e-06
0.5727,0,8.82131e-06,8.96888e-06
0.7569,0,8.71507e-06,8.94141e-06
0.6289,0,8.8259e-06,9.00902e-06
0.7337,0,8.71195e-06,8.94252e-06
0.6492,0,8.77803e-06,8.94289e-06
0.6624,0,8.76853e-06,8.94297e-06
0.7603,0,8.72291e-06,8.94201e-06
0.7207,0,8.75398e-06,8.94334e-06
0.7025,0,8.76688e-06,8.95306e-06
0.6377,0,8.77179e-06,8.94264e-06
0.6346,0,8.78195e-06,8.94244e-06
0.6736,0,8.76936e-06,8.94265e-06
0.6344,0,8.78073e-06,8.94359e-06
0.7352,0,8.80956e-06,9.01597e-06
0.7192,0,8.73968e-06,8.94196e-06
0.6979,0,8.72138e-06,8.94237e-06
0.7225,0,8.77132e-06,8.96189e-06
0.6596,0,8.78506e-06,8.94709e-06
0.69,0,8.75115e-06,8.94311e-06
0.7291,0,8.71554e-06,8.94322e-06
0.7428,0,8.73245e-06,8.94189e-06
0.637,0,8.99691e-06,8.94924e-06
0.7215,0,8.79178e-06,8.98789e-06
0.7391,0,8.71621e-06,8.94118e-06
0.7156,0,8.70464e-06,8.94164e-06
0.7142,0,8.75505e-06,8.94266e-06
0.719,0,8.72346e-06,8.94199e-06
0.7354,0,8.73427e-06,8.94153e-06
0.7309,0,8.7028e-06,8.9412e-06
0.7206,0,8.74022e-06,8.94179e-06
0.7611,0,8.76575e-06,8.96663e-06
0.6251,0,8.80092e-06,8.94232e-06
0.6379,0,8.78362e-06,8.9412e-06
0.757,0,8.72069e-06,8.94134e-06
0.6347,0,8.78489e-06,8.94191e-06
0.7592,0,8.72822e-06,8.94169e-06
0.7409,0,8.71247e-06,8.94119e-06
0.6194,0,8.79252e-06,8.94897e-06
0.694,0,8.74425e-06,8.94153e-06
0.5974,0,8.80128e-06,8.94163e-06
0.721,0,8.72658e-06,8.94242e-06
0.6358,0,8.77971e-06,8.94119e-06
0.7216,0,8.75214e-06,8.95555e-06
0.7502,0,8.73063e-06,8.94201e-06
0.617,0,8.75648e-06,8.94173e-06
0.7015,0,8.72594e-06,8.94184e-06
0.6859,0,8.73948e-06,8.94275e-06
0.724,0,8.7346e-06,8.94187e-06
0.7102,0,8.72908e-06,8.94116e-06
0.7588,0,8.72239e-06,8.94119e-06
0.7374,0,8.73824e-06,8.94285e-06
0.5898,0,8.78961e-06,8.94333e-06
0.7326,0,8.73683e-06,8.94128e-06
0.6438,0,8.76261e-06,8.94187e-06
0.6732,0,8.76937e-06,8.94312e-06
0.7246,0,8.74059e-06,8.94127e-06
0.7304,0.0018,8.76835e-06,9.43381e-06
0.6498,0,8.74124e-06,8.94244e-06
0.6869,0,8.73882e-06,8.94237e-06
0.719,0,8.74756e-06,8.94153e-06
0.7115,0,8.73294e-06,8.94173e-06
0.6674,0,8.76583e-06,8.94168e-06
0.6893,0,8.75166e-06,8.94151e-06
0.7154,0,8.74222e-06,8.94151e-06
0.723,0,8.72976e-06,8.94156e-06
0.7112,0,8.74602e-06,8.9426e-06
0.6781,0,8.79739e-06,8.95897e-06
0.7095,0,8.7357e-06,8.94137e-06
0.755,0,8.73659e-06,8.94749e-06
0.6748,0,8.77055e-06,8.94165e-06
0.7055,0,8.73144e-06,8.94115e-06
0.7187,0,8.71341e-06,8.94214e-06
0.7039,0,8.73687e-06,8.94232e-06
0.6385,0,8.80663e-06,8.984e-06
0.6861,0,8.77203e-06,8.94604e-06
0.7237,0,8.71697e-06,8.94225e-06
0.6979,0,8.73283e-06,8.94132e-06
0.7149,0,8.75184e-06,8.94243e-06
0.6963,0,8.74442e-06,8.94248e-06
0.7409,0,8.7146e-06,8.94232e-06
0.6839,0,8.74743e-06,8.94138e-06
0.7091,0,8.74437e-06,8.9412e-06
0.699,0,8.73676e-06,8.94197e-06
0.7194,0,8.72836e-06,8.94198e-06
0.654,0,8.77965e-06,8.94321e-06
0.6558,0,8.77248e-06,8.94167e-06
0.7234,0,8.81282e-06,9.02903e-06
0.6173,0,8.78913e-06,8.95794e-06
0.5816,0,8.77807e-06,8.9412e-06
0.6803,0,8.75851e-06,8.94243e-06
0.7428,0,8.73566e-06,8.94591e-06
0.6236,0,8.77062e-06,8.94129e-06
0.749,0,8.70674e-06,8.94188e-06
0.6859,0,8.73634e-06,8.9417e-06
0.6034,0,8.77936e-06,8.94164e-06
0.7303,0,8.78336e-06,8.96979e-06
0.7457,0,8.70918e-06,8.94185e-06
0.6291,0,8.77824e-06,8.9421e-06
0.7376,0,8.73155e-06,8.94512e-06
0.6918,0,8.91539e-06,9.19727e-06
0.7204,0,8.75069e-06,8.94266e-06
0.6663,0,8.74887e-06,8.94204e-06
0.6657,0,8.77334e-06,8.94276e-06
0.6699,0,8.77567e-06,8.94244e-06
0.6895,0,8.73918e-06,8.94332e-06
0.6887,0,8.7387e-06,8.94212e-06
0.7391,0,8.70594e-06,8.9423e-06
0.7179,0,8.71881e-06,8.94205e-06
0.7365,0,8.71427e-06,8.94239e-06
0.6662,0,8.77463e-06,8.94291e-06
0.7372,0,8.70427e-06,8.94276e-06
0.6209,0,8.76494e-06,8.94175e-06
0.7155,0,8.71719e-06,8.94227e-06
0.664,0,8.7817e-06,8.94604e-06
0.7201,0,8.72258e-06,8.94242e-06
0.7207,0,8.74067e-06,8.94231e-06
0.7545,0,8.71515e-06,8.94234e-06
0.6152,0,8.77485e-06,8.94179e-06
0.6408,0,8.75409e-06,8.94276e-06
0.7158,0,8.73902e-06,8.94272e-06
0.7382,0,8.71294e-06,8.94242e-06
0.6853,0,8.76773e-06,8.94506e-06
0.7299,0,8.71835e-06,8.94195e-06
0.7018,0,8.74243e-06,8.94199e-06
0.7423,0,8.71291e-06,8.94243e-06
0.6818,0,8.73601e-06,8.94401e-06
0.666,0,8.74652e-06,8.94212e-06
0.7182,0,8.85653e-06,8.94217e-06
0.7413,0,8.7308e-06,8.94376e-06
0.7209,0,8.76448e-06,8.96361e-06
0.7194,0,8.73428e-06,8.943e-06
0.6689,0,8.76043e-06,8.94323e-06
0.7154,0,8.7375e-06,8.94319e-06
0.6874,0,8.79101e-06,8.97511e-06
0.6689,0,8.77529e-06,8.94702e-06
0.6824,0,8.82089e-06,8.99043e-06
0.6772,0,8.74177e-06,8.94212e-06
0.9128,0,8.63015e-06,8.94494e-06
0.6347,0,8.77554e-06,8.94356e-06
0.7564,0,8.71341e-06,8.94308e-06
0.6473,0,8.75619e-06,8.94202e-06
0.6867,0,8.78237e-06,8.95285e-06
0.7848,0,8.76346e-06,8.98425e-06
0.6559,0,8.79081e-06,8.95569e-06
0.6114,0,8.77568e-06,8.94226e-06
0.6484,0,8.77768e-06,8.9422e-06
0.6924,0,8.71486e-06,8.9431e-06
0.7402,0,8.73254e-06,8.94222e-06
0.5811,0,8.80126e-06,8.9431e-06
0.7431,0,8.72893e-06,8.94227e-06
0.6704,0,8.79621e-06,8.95896e-06
0.5815,0,8.80329e-06,8.94275e-06
0.5886,0,8.78828e-06,8.9423e-06
0.7451,0,8.72698e-06,8.94232e-06
0.6905,0,8.74379e-06,8.9425e-06
0.7618,0,8.73192e-06,8.94254e-06
0.5521,0,8.79593e-06,8.94209e-06
0.6982,0,8.72567e-06,8.94253e-06
0.7086,0,8.72526e-06,8.94277e-06
0.7651,0,8.73009e-06,8.94251e-06
0.7431,0,8.72473e-06,8.9435e-06
0.7185,0,8.80831e-06,9.00441e-06
0.6736,0.0008,9.2121e-06,9.38589e-06
0.5303,0,8.84337e-06,8.96252e-06
0.6238,0,8.77131e-06,8.94182e-06
0.709,0,8.74724e-06,8.94189e-06
0.6506,0,8.73903e-06,8.94191e-06
0.0617,0,8.93513e-06,8.94234e-06
0.747,0,8.71553e-06,8.94193e-06
0.6592,0,8.77315e-06,8.94229e-06
0.5469,0,8.82602e-06,8.9537e-06
0.7288,0,8.69607e-06,8.94264e-06
0.7061,0,8.74157e-06,8.94389e-06
0.7457,0,8.74226e-06,8.94275e-06
0.7023,0,8.73512e-06,8.94229e-06
0.6137,0,8.77893e-06,8.94274e-06
