rate_hits,cycles_leak,cycles_decode,total_time
1,1723.58,48670.4,0.00561527
0.01,1718.19,48668,0.00561443
0.01,1761.53,48670,0.00562019
0,1707.58,48671.5,0.00561367
0.01,1714.37,48671.5,0.00561455
0.31,1714.95,48669.9,0.00561432
0,1712.49,48666.8,0.00561392
0.98,1741.8,48865.4,0.0056391
0,1705.11,48672.8,0.00561354
0.01,1715.37,48674.8,0.0056149
1,1723.9,48668.6,0.00561507
0.26,1722.65,48661.3,0.00561497
0,1719.34,48669.1,0.00561495
1,1724.33,48671.9,0.0056155
1,1712.97,48671.6,0.00561422
0,1715.23,48672,0.00561459
0,1769.29,48668.1,0.00562006
1,1725.9,48674.6,0.0056162
0.88,1711.78,48673.3,0.00561547
1,1708.5,48673.7,0.00561444
0,1720.09,48672.8,0.00561553
1,1715.13,48675.3,0.00561508
0.95,1749.69,49001.7,0.00565517
0.54,1713.36,48675.2,0.00561476
1,1714.9,48674.7,0.00561539
1,1712.37,48674.4,0.00561481
0,1774.48,48667.1,0.00562122
0.86,1713.85,48673,0.00561476
0.91,1705.13,48673.5,0.00561367
1,1710.7,48671.7,0.00561478
1,1713.1,48671.3,0.00561421
0.01,1710.41,48670.9,0.00561395
1,1710.41,48671.1,0.00561392
1,1714.38,48670.6,0.00561445
0.01,1731.15,48671.3,0.00561621
1,1710.36,48672.9,0.0056141
0.86,1711.54,48672.4,0.00561431
0.98,1731.02,48861.4,0.00563785
1,1719,48673,0.00561505
0.99,1707.45,48674.3,0.00561447
0,1720.89,48651.6,0.00561285
1,1712.54,48674.3,0.00561523
1,1728.96,48670.5,0.00561576
0.01,1721.63,48672,0.00561529
0,1754.53,48671.4,0.00561905
1,1715.22,48668.1,0.00561411
1,1714.51,48669.9,0.00561444
1,1729.92,48671.3,0.00561609
1,1711.08,48670.8,0.00561387
0,1719.93,48669.5,0.00561516
0,1716.2,48667.5,0.00561455
1,1713.64,48664,0.00561368
0.99,1744.98,48849.1,0.00563759
1,1719.85,48669.2,0.00561478
0.34,1725.73,48670.9,0.00561561
1,1717.15,48667.4,0.00561441
1,1726.44,48672.7,0.00561589
1,1725.41,48666.3,0.00561542
1,1733.25,48671.9,0.00561655
1,1710.67,48656.7,0.00561299
0.84,1720.56,48662,0.0056142
0.99,1732.56,48672.1,0.00561653
1,1718.32,48671.4,0.00561517
1,1719.52,48667.9,0.00561452
0.01,1714.77,48667.9,0.00561401
1,1727.44,48671.4,0.00561578
0.01,1725.33,48670.7,0.00561556
0.95,1764.94,49452.1,0.0057077
1,1718.28,48669.8,0.00561465
1,1719.77,48658.6,0.00561352
0.82,1736.44,48669.2,0.00561656
1,1713.86,48654.8,0.00561251
0.69,1719.9,48668.7,0.00561472
0.9,1711.8,48665.7,0.00561459
0.99,1720.72,48670.4,0.00561502
1,1713.72,48669.4,0.00561407
1,1714.95,48660.8,0.00561346
1,1710.82,48650.5,0.00561165
1,1723.9,48668.1,0.00561498
0.97,1708.59,48670.3,0.0056136
0.01,1714.47,48670.6,0.00561423
1,1722.77,48673.4,0.00561583
0.97,1738.34,48878.8,0.00564084
0.98,1712.55,48667,0.00561368
0.01,1712.49,48671.2,0.00561448
0.01,1760.97,48671.1,0.00561951
0.87,1711.05,48669.5,0.0056142
0.98,1716.56,48668.3,0.00561498
1,1715.63,48660.7,0.00561364
1,1711.73,48671.9,0.00561446
1,1715.47,48655.2,0.00561298
1,1709.06,48671,0.00561423
1,1721.13,48671.4,0.00561512
0,1713.31,48669.7,0.00561434
0.99,1711.89,48672.7,0.00561428
0.99,1744.14,48670.4,0.00561753
1,1718.91,48674.1,0.00561567
0,1732.94,48859.9,0.00563746
1,1713.28,48673.5,0.00561455
0.19,1712.64,48672.5,0.00561432
1,1713.13,48671.3,0.00561458
1,1715.94,48673,0.00561545
0.84,1711.75,48673.4,0.00561441
1,1714.66,48669.6,0.0056155
0.83,1719.43,48680.1,0.00561601
1,1719.77,48656.7,0.00561335
0,1710.97,48671.9,0.0056141
1,1715.18,48670.5,0.00561504
1,1717.87,48673.7,0.00561545
0,1717.5,48667.4,0.00561434
0.95,1717.83,48671.5,0.00561478
0,1778.1,48670.5,0.00562126
0.96,1756.04,49050.5,0.00566209
0.81,1712.96,48670.9,0.00561414
1,1709.91,48672,0.00561438
1,1709.89,48667.4,0.00561432
1,1711.78,48670.8,0.00561428
0.92,1714.76,48660.2,0.0056135
1,1708.02,48669.8,0.00561342
1,1715.07,48672.2,0.00561468
0.01,1765.25,48672.4,0.00562015
1,1709.74,48669.8,0.00561426
1,1710.78,48672.4,0.00561422
1,1715.22,48670.1,0.00561432
1,1708.96,48669.4,0.00561407
1,1709.2,48672.8,0.00561485
1,1719.47,48672.8,0.00561511
0.98,1770.85,48863.6,0.00564227
0.9,1711.62,48657.2,0.00561294
1,1712.66,48670.8,0.00561483
1,1729.52,48665.6,0.0056154
0.01,1705.76,48670.6,0.00561381
0.99,1715.36,48668.8,0.00561419
1,1716.4,48668.7,0.00561435
0,1713.77,48670,0.00561461
0,1763.46,48669,0.00561959
1,1725.11,48667.2,0.00561505
0.68,1720.57,48666.5,0.00561523
1,1721.83,48669.3,0.00561497
0.56,1714.46,48660,0.00561368
1,1711.79,48671.6,0.00561469
1,1716.54,48668.9,0.00561438
0,1733.81,48848.8,0.00563631
1,1719.28,48672.8,0.00561508
0.85,1714.93,48672.9,0.00561466
0.01,1722.76,48667.5,0.00561516
0.83,1717.14,48671.3,0.00561469
1,1708.11,48669.6,0.00561359
1,1713.45,48670.3,0.00561421
0.77,1722.42,48671.9,0.00561534
0.01,1710.78,48664.3,0.00561393
0.99,1720.48,48668.9,0.00561478
0.74,1711.31,48671.8,0.00561412
1,1714.73,48672.3,0.00561463
1,1718.88,48669.8,0.00561471
0.89,1717.91,48671.4,0.00561482
1,1719.64,48670.2,0.00561484
0.93,1782.52,49300.2,0.00569218
1,1715.85,48672,0.0056146
0.02,1714.27,48669.1,0.00561413
0,1762.75,48672.9,0.00562061
0.78,1710.33,48668.4,0.00561367
0.99,1708.91,48671,0.0056142
1,1710.83,48670.7,0.00561465
1,1713.05,48670,0.00561409
1,1706.88,48671.4,0.00561356
0,1764.31,48669.4,0.00562034
1,1714.4,48670.8,0.00561435
1,1706.41,48670.9,0.00561345
1,1714.64,48661.7,0.00561334
0.02,1712.66,48669.5,0.00561401
0.99,1711.85,48670.6,0.00561401
0.01,1734.82,48865.3,0.0056395
1,1722.2,48666.1,0.00561459
0.01,1770.06,48652.4,0.00561916
0.02,1708.33,48669.1,0.00561371
0.87,1718.99,48668.5,0.005615
0.01,1715.05,48668.7,0.00561427
1,1713.58,48669,0.00561467
0,1761.92,48670.7,0.00561956
0.67,1707.77,48662.7,0.00561363
1,1716.04,48668.4,0.00561471
0,1714.89,48670.2,0.00561438
1,1711.72,48669.6,0.00561389
1,1711.23,48668.9,0.00561379
0.99,1709.88,48673.3,0.00561419
1,1706.3,48665,0.00561393
0,1728.79,48837.7,0.00563472
0,1771.18,48668.4,0.0056203
0.98,1716.04,48667.1,0.0056141
0,1715.35,48669.2,0.00561429
0,1717.54,48664.6,0.00561389
1,1719.78,48669.8,0.00561474
1,1706.75,48669.8,0.00561376
0.99,1706.93,48673.1,0.00561413
1,1714.88,48664.4,0.00561387
0.87,1708.22,48670.5,0.00561368
0.91,1709.84,48670.1,0.00561407
0.01,1708.88,48670,0.00561359
0,1715.16,48667.1,0.00561436
0.02,1711.31,48643.8,0.005611
1,1712.45,48671.1,0.00561411
0.96,1756.24,49031.2,0.00565926
0.99,1751.09,48669.3,0.00561844
1,1716.09,48669.5,0.00561499
0.77,1721.77,48660.6,0.00561403
1,1703.72,48676.7,0.00561383
0.92,1716.17,48669.2,0.00561503
0,1710.87,48666.6,0.00561457
1,1724.95,48672.8,0.00561573
0,1713.71,48671.9,0.00561445
0.98,1717.43,48668.7,0.00561441
0,1719.05,48670.8,0.00561488
0,1716.65,48670.9,0.00561519
0.99,1710.5,48670.8,0.00561385
1,1711.76,48673.9,0.00561469
0.99,1713.05,48670.1,0.00561416
0.98,1737.55,48842,0.00563604
0,1708.65,48674.6,0.00561438
1,1709.53,48671.2,0.00561375
0.84,1715.74,48668.5,0.00561419
0.01,1712.6,48672.7,0.00561503
0,1712.25,48672.2,0.0056144
0.46,1716.37,48671.7,0.00561469
0.84,1717.36,48674,0.00561545
0.88,1712.87,48671.9,0.00561424
0.01,1711.65,48674.3,0.00561446
0.89,1716.82,48668.7,0.00561444
1,1729.62,48670.3,0.00561585
1,1719.12,48670.6,0.00561536
0.88,1712.27,48667,0.00561373
1,1735.71,48674,0.00561712
0,1739.86,48845,0.00563678
0.01,1759.65,48674.5,0.00561981
1,1717.16,48671.5,0.00561468
0.01,1712.3,48673,0.00561439
0,1717.03,48671.6,0.00561526
0.88,1717.03,48669.8,0.00561495
0,1727.37,48668.4,0.00561576
1,1715.61,48672.8,0.00561471
0.01,1713.25,48666.1,0.00561371
0,1781.43,48667,0.00562124
1,1717.94,48664.4,0.00561401
1,1720.14,48671,0.00561498
0.8,1720.46,48665.7,0.00561436
1,1765.02,48672.1,0.00562011
1,1713.77,48671,0.00561432
0.95,1785.37,49197.7,0.00568106
