rate_hits,cycles_leak,cycles_decode,total_time
0.16,1179.85,91612.9,0.0177232
0.08,1170.34,91655.4,0.0177259
0.18,1050.36,91760.5,0.0177333
0.16,1174.78,91653.1,0.017726
0.09,1164.75,91667.3,0.0177279
0.02,1182.46,91613.9,0.0177236
0.03,1181.72,91616.2,0.0177234
0.19,1212.09,91777.4,0.017745
0.11,1185.84,91877.6,0.0177638
0.16,1174.84,92023.6,0.0177697
0.17,1167.32,92213.6,0.017788
0.17,1183.36,91830.7,0.0177475
0.13,1180.12,92091.2,0.0177759
0.08,1199.82,91861.2,0.0178066
0.06,1173.33,91811.3,0.0177449
0.14,1192.29,91907.8,0.017756
0.06,1192.71,91654.7,0.0177287
0.1,1185.75,92007.6,0.0177675
0.13,1184.19,91796.4,0.017752
0.17,1198.85,91752.8,0.0177404
0.07,1167.07,91807.5,0.0177419
0.16,1173.88,91634.1,0.0177251
0.1,1182.47,91902,0.0177575
0.15,1173.14,91789.4,0.0177406
0.02,1166.57,91861.5,0.0177478
0.13,1184.72,92122,0.0177794
0.01,1166.5,91934.1,0.0177565
0.15,1179.03,91878.3,0.017754
0.12,1201.81,91623.3,0.0177254
0.16,1195.99,92233.8,0.0178116
0.06,1172.55,91768.4,0.0177409
0.11,1203.96,91491.8,0.0177135
0.05,1168.48,92023.5,0.0177679
0.05,1166.99,91752.4,0.0177359
0.12,1183.98,91948,0.0177676
0.12,1187.73,91849,0.0177502
0.15,1157.86,91978.7,0.0177606
0.08,1185.66,92095.5,0.017777
0.16,1170.66,92087.4,0.0177749
0.19,1180.22,91788.7,0.0177536
0.15,1181.88,91606.9,0.0177219
0.18,1162.01,92344.5,0.0178021
0.17,1188.98,91989.7,0.0177657
0.08,1190.45,91861,0.0177528
0.13,1189.28,91675,0.0177292
0.14,1187.16,91651.3,0.0177814
0.1,1207.33,91901.3,0.0177624
0.13,1195.48,91628.8,0.0177261
0.16,1203.67,91881.7,0.0177546
0.16,1170.85,92028.8,0.0177665
0.09,1191.3,92033.9,0.0177778
0.13,1198.25,91606.6,0.0177239
0.14,1187.32,91639.4,0.0177282
0.07,1169.6,91945,0.0177575
0.14,1172.09,92203.2,0.0177846
0.11,1208.99,91952.8,0.0177725
0.22,1205.94,91694.4,0.017735
0.09,1176.29,91678.3,0.0177296
0.18,1185.42,92022,0.0177684
0.16,1180.67,91606.2,0.0177237
0.08,1205.05,91760.4,0.0177416
0.18,1195.77,92244.7,0.0178128
0.15,1171.86,91984.1,0.0177634
0.12,1186.45,91928.6,0.017759
0.12,1199.23,91852.8,0.0177514
0.16,1171.54,91896,0.0177532
0.11,1185.68,91765.1,0.0177512
0.14,1181.49,91804.2,0.0177444
0.15,1180.11,91578.1,0.0177234
0.15,1184.15,91664.8,0.0177281
0.11,1174.99,92073.3,0.0177731
0.14,1225.79,91827.6,0.0177616
0.14,1177.41,91641,0.0177268
0.11,1203.37,91649,0.0177294
0,1173.72,91635.9,0.0177236
0.15,1179.89,91729.1,0.0177347
0.12,1158.7,91771.5,0.0177392
0.18,1194.13,91975.1,0.017796
0.1,1167.7,92025.3,0.017767
0.08,1183.23,91620.2,0.0177238
0.09,1193.98,91692.9,0.017734
0.12,1163.02,92087.2,0.0177723
0.09,1210.2,91882.8,0.0177644
0.11,1163.83,92074.2,0.0177702
0.14,1163.81,91837.9,0.0177455
0.02,1180.42,92225.3,0.0177914
0.08,1180.38,92055.1,0.0177719
0.09,1175.19,92289.5,0.0178071
0.03,1181.5,92037.2,0.0177698
0.12,1216.65,92142.3,0.0177858
0.05,1165.25,91978.1,0.0177622
0.1,1219.42,92007.1,0.0177716
0.17,1190.53,91828.2,0.017748
0.16,1186.28,91867,0.0177728
0.13,1177.04,91700.7,0.0177322
0.14,1189.53,91634.5,0.017726
0.12,1158.96,91983.9,0.0177592
0.12,1173.69,91706.6,0.0177334
0.14,1185.71,91829.8,0.0177598
0.12,1199.59,92222.9,0.0177918
0.09,1179.19,91888.4,0.0177548
0.03,1057.38,91574.9,0.017708
0,1167.72,91931,0.0177567
0.04,1168.14,92011.7,0.0177754
0.15,1171.4,92055,0.0177708
0.18,1178.75,92034.4,0.01777
0.14,1174.52,92058.6,0.0177715
0.16,1203.21,92046,0.0177733
0.16,1194.28,91733.9,0.0177376
0.09,1196.67,91830.7,0.0178079
0.13,1191.74,91599.7,0.0177234
0.09,1178.84,91884.8,0.017753
0.13,1173.91,92052.4,0.0177708
0.19,1197.92,91649.4,0.0177283
0.17,1198.2,92101.9,0.0177886
0.13,1193.28,92069.4,0.017775
0.01,1158.16,91918.9,0.0177537
0.16,1186.88,91913.4,0.0177555
0.18,1204.33,91769.4,0.0177431
0.18,1192.09,91648.8,0.0177364
0.1,1216.38,92031.5,0.0177728
0.11,1188.06,91846.2,0.0177501
0.1,1194.16,91616.4,0.0177254
0.11,1186.22,91656.1,0.0177298
0.1,1173.21,92027.4,0.0177684
0.07,1169.67,92084.4,0.0177727
0.15,1187.89,92014,0.0177676
0.04,1166.88,91857.7,0.0177504
0.06,1179.63,91710,0.017734
0.07,1167.47,91655.5,0.0177266
0.09,1197.22,91965.1,0.0177722
0.15,1173.63,91834.4,0.0177497
0.18,1176.75,91645.2,0.0177253
0.07,1181.23,92156,0.0177823
0.17,1177.09,91955.1,0.0177592
0.17,1185.07,92174.1,0.0177931
0.15,1181.18,91764.9,0.017741
0.14,1172.41,92084.2,0.0177746
0.14,1166.88,92103.7,0.0177745
0.11,1160.37,91624.4,0.0177226
0.15,1191.27,91741.6,0.0177662
0.05,1169.61,91672.3,0.0177277
0.08,1229.9,91904.8,0.0177603
0.13,1179.18,91809.2,0.017745
0.12,1220.83,91573.1,0.0177226
0.11,1186.59,91642.1,0.0177271
0.2,1188.49,91984.2,0.0177744
0.12,1191.2,91882.6,0.0177539
0.14,1170.32,91880.8,0.0177507
0.11,1185.08,91615,0.017723
0.03,1189.9,91623,0.0177251
0.1,1206.8,91641.8,0.0177373
0.1,1188.31,91584.4,0.0177212
0.14,1167.59,91630,0.0177244
0.13,1178.33,92018.7,0.017769
0.14,1231.09,92077.5,0.0177804
0.11,1211.63,91900.5,0.0177761
0.05,1185,91599.6,0.0177223
0.22,1189.86,91830.6,0.0177472
0.09,1181.06,91631.8,0.0177236
0.09,1193.62,91882.9,0.0177546
0.12,1179.48,91976.4,0.0177631
0.09,1184.87,91949.3,0.0177708
0.07,1197.07,91484.3,0.0177105
0.17,1171.82,91646.3,0.0177257
0.08,1191.91,91874.1,0.0177548
0,1174.46,91592.9,0.0177209
0.07,1179.17,91557.7,0.0177244
0.2,1194.17,92030.8,0.0177713
0.01,1180.87,91964.6,0.0177622
0.16,1173.17,92037,0.0177692
0.12,1175.54,91987,0.0177627
0.05,1209.55,91919.8,0.0177887
0.14,1191.73,91863.1,0.0177514
0.19,1175.57,92023.3,0.0177699
0.14,1174.04,92225.9,0.0177908
0.14,1176.88,91879.8,0.0177523
0.09,1183.23,91938.9,0.0177595
0.11,1163.97,92060.1,0.0177794
0.09,1199.03,91814.6,0.0177463
0.01,1173.26,91774.1,0.0177399
0.03,1170.37,91657.4,0.0177265
0.13,1168.97,91858.7,0.0177498
0.14,1185.33,91987.2,0.0177731
0.06,1180.59,91980.9,0.0177631
0.16,1182.28,91601.6,0.0177208
