rate_hits,cycles_leak,cycles_decode,total_time
0.84,1792.83,94645.3,0.0107323
0.88,1790.36,94657.4,0.0107329
1,1787.78,94699.4,0.0107364
1,1788.2,94720.5,0.0107388
0.2,1779.51,94673.9,0.0107333
1,1787.56,94699.7,0.0107364
0.13,1780.35,94744.6,0.0107413
1,1795.98,94686.9,0.0107359
1,1803.23,94700.2,0.0107382
0.36,1786.2,94686.6,0.0107355
0.33,1781.68,94650.9,0.010731
1,1793.72,94713.8,0.0107387
0.2,1806.69,94589.4,0.010727
1,1780.84,94704.2,0.0107361
1,1791.41,94671.3,0.0107337
0.83,1787.09,94726.3,0.01074
1,1783.48,94693.7,0.0107353
0.29,1819.95,94651.7,0.0107355
1,1788.31,94636.5,0.0107295
0.85,1780.13,94674.4,0.0107335
0.29,1783.63,94629,0.0107288
0.93,1785.09,94677.7,0.0107344
1,1785.88,94640.1,0.0107296
1,1790.34,94635.3,0.0107296
0.28,1783.9,94649,0.010731
1,1806.78,94751.4,0.0107444
1,1791.72,94720,0.0107392
0.75,1777.77,94698.7,0.0107359
0.14,1779.97,94694.3,0.0107356
0.21,1781.01,94638.2,0.0107295
1,1791.91,94670.2,0.0107336
1,1790.32,94688.2,0.0107355
1,1819.59,94638.4,0.0107332
0.3,1780.01,94513.2,0.0107156
1,1794.38,94752.3,0.010743
0.38,1781.15,94671.2,0.0107332
1,1779.54,94651.2,0.0107302
0.27,1787.2,94587.1,0.0107245
0.81,1782.41,94609,0.0107265
0.21,1780.8,94618.5,0.0107273
1,1799.3,94656.3,0.0107328
0.9,1789.72,94621.1,0.0107287
0.99,1834.39,94576.2,0.0107281
0.36,1782.52,94621,0.010728
0.79,1782.77,94684.2,0.0107349
0.92,1779.15,94645.8,0.0107302
0.83,1792.45,94595.5,0.0107261
0.91,1776.44,94664,0.0107319
1,1785.71,94651.4,0.0107309
1,1786.34,94715.3,0.010738
0.97,1787.62,94683,0.0107346
0.99,1807.83,94634.5,0.0107315
0.78,1776.33,94659.9,0.0107314
0.85,1776.48,94627.9,0.0107279
0.88,1787.07,94585.6,0.0107244
0.91,1784.58,94566.9,0.0107224
0.3,1788.43,94655.6,0.0107323
0.53,1782.4,94638.1,0.0107297
1,1782.42,94639.2,0.0107292
1,1793.59,94692.4,0.0107363
1,1785.01,94620.9,0.0107273
1,1797.05,94652.2,0.0107322
1,1789.26,94733.5,0.0107403
1,1784.14,94690.6,0.010735
1,1778.28,94687.8,0.010734
1,1788.33,94686.3,0.010735
0.84,1780.05,94695.4,0.0107358
1,1788.54,94651,0.0107311
0.64,1821.01,94720.1,0.0107433
1,1786,94686,0.0107347
0.86,1782.13,94655.4,0.0107316
1,1782.81,94664.7,0.0107319
0.62,1778.9,94688.4,0.0107349
0.16,1778.55,94647.2,0.0107304
1,1787.78,94653.8,0.0107313
0.17,1787.58,94725.7,0.01074
1,1807.28,94742.4,0.0107434
1,1788.04,94679.3,0.0107342
1,1784.8,94688,0.0107348
0.37,1784.42,94692.8,0.0107364
1,1779.35,94638.4,0.0107286
0.4,1777.41,94614.9,0.0107268
0.42,1787.84,94531.1,0.0107184
1,1790.78,94667.3,0.0107332
1,1792.79,94672,0.0107339
0.98,1808.17,94632.2,0.0107312
0.78,1794.92,94734.2,0.0107418
1,1789.27,94748.8,0.010742
1,1782.38,94674.3,0.010733
0.23,1782.08,94664.7,0.0107326
0.22,1781.7,94705.7,0.0107371
0.99,1784.29,94679.6,0.0107338
0.81,1782.86,94728.5,0.0107398
0.99,1840.35,94880.2,0.0107626
0.26,1779.29,94649.5,0.0107306
0.89,1781.55,94671.6,0.0107337
1,1790.24,94702.6,0.010737
0.99,1791.91,94656.8,0.010732
0.95,1780.95,94646.5,0.0107305
0.26,1786.34,94682,0.010735
1,1789.22,94647.7,0.0107308
0.77,1782.3,94696.3,0.0107362
0.52,1781.27,94652.2,0.0107311
1,1786.96,94709.3,0.0107374
0.2,1789.14,94650.2,0.0107312
1,1787.71,94680.1,0.0107343
0.28,1785.33,94695.5,0.0107364
0.31,1783.01,94656.1,0.0107318
1,1788.57,94659.1,0.0107321
0.15,1785.86,94691.5,0.010736
1,1796.51,94687.8,0.0107362
0.05,1800.98,94708.2,0.0107398
1,1795.91,94748.9,0.0107428
0.34,1789.1,94654.5,0.0107322
1,1783.03,94663,0.0107319
1,1783.19,94708.7,0.0107369
1,1785.27,94686.7,0.0107347
1,1782.36,94649.1,0.0107302
1,1788.86,94672.5,0.0107335
0.43,1804.38,94568.4,0.0107244
1,1780.42,94605.6,0.0107252
0.69,1785.75,94572.8,0.0107228
0.22,1781.31,94597.7,0.0107251
0.16,1781.14,94534.8,0.0107181
1,1785.62,94571.4,0.010722
0.71,1782.2,94640.7,0.01073
